Actif, Ensemble des biens et des valeurs financières d'une personne.
Action, Titre de propriété d'une entre-prise, échangeable sur le marché des valeurs mobilières.
Ancienneté, Temps passé par quelqu'un dan`s un emploi.
Assurance-emploi, Revenu d'appoint offert temporairement et à certaines conditions en cas de perte d'emploi ou dans certaines autres situations (maladie, invalidité, etc.).
Avantage social, Montant ou avantage offert aux employés en plus du salaire, en vertu d'ententes préalablement conclues (assurance, régime de retraite, etc.).
Avoir, Dans un bilan, différence entre l'actif et le passif.
Besoin, Nécessité de base, obligation, chose essentielle à la vie.
Bilan, Document qui dresse un portrait de la valeur nette (avoir) d'un individu à une date donnée en calculant la différence entre son actif et son passif.
Budget, Document qui présente une prévision des revenus et des dépenses d'une personne pour une période donnée (un an, un mois ou une semaine).
Budget déficitaire, Budget dans lequel les revenus sont moins élevés que les dépenses.
Budget équilibré, Budget dans lequel les dépenses sont égales aux revenus.
Budget excédentaire, Budget dans lequel les revenus sont plus élevés que les dépenses.
Bulletin de paie, Document que les employeurs doivent remettre à leurs employés afin de leur permettre de vérifier le calcul de leur renunération.
Capital, Montant possédé ou investi par un particulier, une entreprise ou une institution financière.
Carte de crédit, Carte qui autorise son détenteur à utiliser l'argent d'une institution financière ou d'une grande entreprise pour régler un achat.
Caution, Personne qui s'engage par contrat à respecter les obligations d'un emprunteur dans le cas où celui-ci ne les respecterait pas.
Cautionnement, Contrat dans lequel s'engage la personne qui sert de caution.
Centrale syndicale, Regroupement de syndicats locaux.
Certificat de placement garantie, Outil d'épargne dans lequel le capital et le rendement sont garantis. Il peut être rachetable ou non rachetable.
Charte canadienne des droits et libertés, Document légal qui garantit les droits et libertés d'une personne en interdisant de la discriminer en se fondant sur sa race, la couleur de sa peau, son sexe, son état de grossesse, son orientation sexuelle, son état civil, son âge, sa religion, ses convictions politiques, sa langue, son origine ethnique, sa condition sociale ou son handicap.
Charte des droits et libertés de la personne, Document légal qui interdit toute forme de discrimination ou de harcèlement basés sur l'âge, la condition sociale, les convictions politiques, l'état civil, la grossesse, le handicap, le sexe, l'identité ou l'expression du genre, la langue, l'orientation sexuelle, la race, la couleur, l'origine ethnique et la religion.
Chômage, Situation dans laquelle se trouve une personne sans emploi qui est apte au travail, qui souhaite travailler et qui cherche activement un emploi.
Chômage conjoncturel, Type de chômage qui dépend de l'activité économique: en période de croissance, il baisse; en période de récession, il monte.
Chômage frictionnel, Type de chômage causé par les pertes d'emploi occasionnelles, temporaires ou volontaires.
Chômage saisonnier, Type de chômage qui dépend des activités saisonnières de certains secteurs, comme le tourisme, l'agriculture et la pêche.
Chômage structurel, Type de chômage provoqué par une discordance entre la disponibilité de la main-d'œuvre et les besoins du marché du travail (apparition ou disparition de secteurs d'activité, innovations technologiques, etc.).
Commission, Prime versée aux employés en fonction du rendement.
Commission des normes, de l'équité, de la santé et de la sécurité du travail, Organisme né en 2016 de la fusion de la Commission des normes du travail, de la Commission de l'équité salariale (CES) et de la Commission de la santé et de la sécurité du travail (CSST). Il assure la promotion des droits et des obligations en matière de travail et en assure le respect auprès des travailleurs et des employeurs québécois.
Compétence, Capacité et connaissance qui permettent à des employés de bien effectuer leur travail.
Compte chèques, Compte bancaire permettant d'utiliser des chèques comme moyen de paiement et d'effectuer des transactions courantes.
Compte d'épargne, Compte bancaire dans lequel on dépose de l'argent. Il offre généralement un rendement légèrement supérieur à celui d'un compte chèques.
Compte d'épargne libre d'impôt, Placement permettant de générer des revenus à l'abri de l'impôt et dont les fonds restent accessibles en tout temps.
Conciliation études-travail, Equilibre entre le temps passé au travail et celui consacré à la formation.
Consolidation de dettes, Solution au surendettement qui consiste à regrouper toutes les dettes en un seul emprunt afin d'en simplifier la gestion et, si possible, de réduire leur poids sur le budget.
Consommation, Utilisation d'un bien ou d'un service par un individu ou une collectivité. Elle englobe les comportements adoptés pour la satisfaction des besoins et des désirs.
Consommation responsable, Mode de consommation qui tient compte du développement durable, autrement dit, qui est respectueux de l'environne-ment, bénéfique pour l'économie et positif pour la santé.
Contrat de crédit variable, Contrat dans lequel le montant et la durée du prêt ne sont pas fixés d'avance. Exemples: carte de crédit, marge de crédit.
Contrat de prêt d'argent, Contrat permettant d'emprunter un montant fixe pour une durée précise. Exemples: prêt person-nel, prêt hypothécaire.
Contrat de travail, Contrat par lequel une per-sonne, le salarié ou la salariée, s'oblige, pour un temps limité et moyennant rémunération, à effectuer un travail sous la direction ou le contrôle d'une autre personne, l'employeur.
Contrat de vente à tempérament, Contrat dans lequel le bien acheté est donné en garantie jusqu'à son paiement complet.
Convention collective, Contrat de travail dont les termes ont été négociés entre un syndicat et un employeur.
Coût d'opportunité, Valeur du bien ou du service auquel on renonce pour en choisir un autre.
Crédit, Dette, du point de vue de la personne ou de l'entreprise préteuse.
Crédit d'impôt, Montant qui permet de réduire le montant d'impôt qu'on doit payer.
Crédit d'impöt non remboursable, Montant pouvant faire diminuer l'impôt à payer jusqu'à zéro, mais jamais sous cette barre.
Crédit d'impôt remboursable, Montant pouvant faire diminuer l'impôt à payer sous la barre du zéro, donnant ainsi lieu à un remboursement.
Culture, Ensemble de valeurs, de connaissances, de savoir-faire, de traditions et de coutumes propres à un groupe de gens qui partagent un espace de vie commun.
Curriculum vitae, Document qui résume la forma-tion. l'expérience de travail et les qualifications d'une personne.
Déclaration de revenus, Document produit annuellement et servant à divulguer aux gouvernements ses revenus imposables.
Déduction, Dépense qu'on peut soustraire de son revenu imposable.
Déficit, Situation dans laquelle les dépenses excédent les revenus.
Demande, Quantité de biens et de services que les consommateurs souhaitent acheter en fonction du prix.
Dépense, Partie du revenu utilisée pour consommer.
Dépense compressible, Dépense relativement facile à couper ou à réduire à court terme.
Dépense fixe, Dépense dont le montant est stable et qui revient régulièrement.
Dépense incompressible, Dépense qu'on ne peut ni éviter ni réduire à court terme.
Dépense variable, Dépense dont le montant et la fréquence peuvent varier.
Dépôt à terme, Outil d'épargne offert par les institutions financières dans lequel le capital et le rendement sont garantis. Il peut être rachetable ou non rachetable.
Depöt volontaire, Solution au surendettement qui consiste à remettre à la Cour du Québec une partie de ses revenus afin que cette dernière les redistribue aux créanciers.
Désir, Souhait, envie ou chose non essentielle à la vie, mais qui fait plaisir.
Dette, Somme d'argent que l'on doit à une personne ou à une entreprise.
Dette, Accumulation de tous les déficits budgétaires d'un gouvernement au fil des ans.
Dividendes, Partie des bénéfices d'une entreprise qui sont redistribués entre tous les détenteurs d'actio
Dossier de crédit, Dossier constitué par les agences d'évaluation du crédit détaillant les antécédents des particuliers en matière de crédit.
Endettement, Fait de devoir de l'argent à quelqu'un.
Épargne, Partie du revenu qu'on met de côté afin de la faire fructifier et de la dépenser plus tard.
Équité salariale, Ensemble des gestes qui ont pour but de garantir un salaire égal pour un travail, sans égard au sexe.
Expérience, Temps et connaissances accumulés lors de la pratique d'une activité.
Faillite, Solution au surendettement qui consiste à se libérer de ses dettes en remettant tous ses biens saisissables à ses créanciers.
Financement, Soutien financier pour réaliser des études, pouvant provenir des étudiants, des parents, du Programme de prêts et bourses du gouvernement du Québec, etc.
Fiscalité, Ensemble des règles, des lois et des pratiques concernant la perception des impôts et des autres prélèvements obligatoires.
Fonction, Rôle exercé par les employés dans une organisation.
Fonds commun de placement, Outil de placement regroupant l'argent de plusieurs épargnants dans des placements diversifiés et administré par un gestionnaire professionnel.
Fonds d'urgence, Épargne servant à faire face aux imprévus.
Formation, Ensemble de connaissances théoriques et pratiques pour accéder à un métier ou à une profession.
